Year,Month,"Supply Beginning cold-storage stocks 
[A]",Supply Production ,"Supply Imports 
[C]","Total supplys
= [A + B + C]","Utilization Exports 
[E]","Utilization Ending 
cold-storage stocks 
[F]","Utilization Domestic disappearance
= [D - E - F]"
2022,Jan,842.9,483.8,2.2,"1,328.80",17.6,837.6,473.7
2022,Feb,837.6,436.3,1.7,"1,275.60",17.6,831.2,426.8
2022,Mar,831.2,482.8,2.9,"1,316.90",23.8,828.4,464.7
2022,Apr,828.4,477.1,2.1,"1,307.70",25.9,835.7,446
2022,May,835.7,488.3,2.6,"1,326.70",22.7,857.9,446.2
2022,Jun,857.9,466,2.7,"1,326.60",26.7,846.8,453.2
2022,Jul,846.8,474,1.4,"1,322.10",21.7,860,440.4
2022,Aug,860,457.7,1.6,"1,319.30",21.8,841.5,456
2022,Sep,841.5,446.9,2.8,"1,291.30",18.7,843.1,429.5
2022,Oct,843.1,475.4,2.5,"1,321.00",18.8,831.2,471
2022,Nov,831.2,466.3,2.3,"1,299.80",21,816.1,462.7
2022,Dec,816.1,485.7,2.5,"1,304.30",20.3,825.3,458.7
2023,Jan,825.3,498.6,2.2,"1,326.10",21.8,823.4,480.9
2023,Feb,823.4,443.2,3.5,"1,270.10",15,809.2,445.8
2023,Mar,809.2,498.9,2.7,"1,310.80",21.2,826.8,462.9
2023,Apr,826.8,485.8,2.5,"1,315.20",18.3,841.9,454.9
2023,May,841.9,510.2,2.2,"1,354.30",15.1,857.1,482.1
2023,Jun,857.1,473.6,1.6,"1,332.30",16.5,853.5,462.3
2023,Jul,853.5,468.3,1.5,"1,323.40",17.8,841.8,463.7
2023,Aug,841.8,458.6,2.2,"1,302.60",18.3,852.9,431.5
2023,Sep,852.9,462.5,2.4,"1,317.80",14.4,851.2,452.2
2023,Oct,851.2,470.1,2.8,"1,324.10",12.5,833.9,477.7
2023,Nov,833.9,460.9,2.5,"1,297.30",13.6,828.4,455.3
2023,Dec,828.4,488.1,3.3,"1,319.70",16.3,837.8,465.6
